Solution Length,Nodes Expanded,Runtime,Solution
2,5,0.05187535285949707,[16, 18]
2,5,0.046874046325683594,[10, 24]
2,3,0.023914337158203125,[20, 24]
2,4,0.03393912315368652,[16, 12]
2,4,0.03889656066894531,[10, 12]
2,4,0.03688454627990723,[12, 16]
2,3,0.021924734115600586,[24, 8]
2,3,0.020943880081176758,[2, 14]
2,4,0.03191351890563965,[12, 16]
2,3,0.024935245513916016,[20, 6]
2,3,0.021940231323242188,[18, 4]
2,3,0.020981311798095703,[24, 12]
